ci_hi_2-9.6s,ci_hi_<=2s,ci_hi_>9.6s,ci_lo_2-9.6s,ci_lo_<=2s,ci_lo_>9.6s,elapsed_s,include_gk,match_id,mean_all,median_2-9.6s,median_<=2s,median_>9.6s,median_all,median_ci_hi,median_ci_lo,method,n,p90_all,share_2-9.6s,share_<=2s,share_>9.6s,width_m
12.284985744953156,2.519078069925308,29.27803854942322,11.280924785137177,2.2882103085517884,25.655541133880615,8.4,False,metrica_1,18.527839989625047,11.768798828125,2.401618480682373,27.37226390838623,16.32979106903076,17.96859393119812,14.717720413208008,B1,141428,37.514485931396486,0.3860550951721017,0.1712178635065192,0.4427270413213791,44.0
11.038625121116638,5.158944028615951,18.26872065067291,9.580743598937989,4.752195322513581,13.57445012331009,8.2,False,metrica_1,13.6079960308822,10.29173469543457,4.955813407897949,15.91901683807373,10.803257942199707,11.860013604164124,9.814899170398713,B2,141428,28.128186416625976,0.3860550951721017,0.1712178635065192,0.4427270413213791,44.0
22.006873035430907,16.66206774711609,27.788959789276124,20.27805573940277,15.725602006912231,23.291267418861388,9.3,False,metrica_1,23.043941004714092,21.098413467407227,16.213449478149414,25.60715389251709,21.599799156188965,22.813559937477113,20.51406321525574,B5,141428,37.171582031250004,0.3860550951721017,0.1712178635065192,0.4427270413213791,44.0
14.332572507858277,8.338329529762268,21.509590077400205,12.326200795173644,7.60462201833725,16.241571068763733,9.4,False,metrica_1,16.209152750294912,13.213947296142578,7.953747272491455,18.79086399078369,13.682271957397461,14.944419348239899,12.557486200332642,B3E,141428,30.820549011230476,0.3860550951721017,0.1712178635065192,0.4427270413213791,44.0
10.25031020641327,2.407826805114746,18.264899849891663,8.842275512218475,2.2059130668640137,13.570806503295898,8.8,False,metrica_1,12.880539136056974,9.56029987335205,2.2993662357330322,15.917407035827637,10.045674800872803,11.191827964782714,9.09969449043274,B3V,141428,27.999860763549805,0.3860550951721017,0.1712178635065192,0.4427270413213791,44.0
13.282570862770081,3.727421653270721,21.505852127075194,11.440921688079834,3.3964238673448564,16.23432550430298,10.2,False,metrica_1,15.143436058918798,12.312956809997559,3.5590193271636963,18.786190032958984,12.5871262550354,13.799683713912964,11.314616334438323,B3,141428,30.59724578857422,0.3860550951721017,0.1712178635065192,0.4427270413213791,44.0
8.736475265026092,3.758186650276184,18.587602615356445,7.407253527641297,3.3579938888549803,12.659710252285004,9.9,False,metrica_1,13.60226757724942,8.011824607849121,3.540832757949829,15.197242736816406,9.043471336364746,10.247725296020509,8.01535153388977,B4,141428,32.848687744140626,0.3860550951721017,0.1712178635065192,0.4427270413213791,44.0
12.206258916854859,2.515697744488716,30.354851794242858,11.085776543617248,2.318070614337921,26.120598196983337,8.1,False,metrica_2,18.68870048442613,11.607406616210938,2.414586067199707,28.597145080566406,16.07219696044922,18.116256761550904,14.021348690986633,B1,128722,38.509287261962896,0.379251410015382,0.17665200975746181,0.4440965802271562,44.0
9.857199299335479,4.958909368515014,19.256473970413207,8.704178249835968,4.554043585062027,14.521773982048035,7.7,False,metrica_2,13.452413448368512,9.259650230407715,4.74627161026001,16.849645614624023,10.413267612457275,11.581878519058227,9.34667536020279,B2,128722,28.29721908569336,0.379251410015382,0.17665200975746181,0.4440965802271562,44.0
20.398192882537842,15.69639424085617,29.677772521972656,18.612910795211793,14.587157487869263,23.96652183532715,8.7,False,metrica_2,22.749596538222285,19.522141456604004,15.12890911102295,26.714588165283203,20.9281644821167,22.300519037246705,19.596460008621214,B5,128722,38.50018043518067,0.379251410015382,0.17665200975746181,0.4440965802271562,44.0
