ci_hi_2-9.6s,ci_hi_<=2s,ci_hi_>9.6s,ci_lo_2-9.6s,ci_lo_<=2s,ci_lo_>9.6s,elapsed_s,include_gk,match_id,mean_all,median_2-9.6s,median_<=2s,median_>9.6s,median_all,median_ci_hi,median_ci_lo,method,n,p90_all,share_2-9.6s,share_<=2s,share_>9.6s,width_m
13.304581952095031,2.6974227905273436,34.56294288635254,12.001217138767242,2.2853815972805025,30.272753620147704,3.3,True,metrica_1,23.84131987759643,12.66093635559082,2.483288526535034,32.430301666259766,21.50612735748291,23.333749961853027,19.434289503097535,B1,84420,47.77311096191407,0.31579009713338074,0.13256337360814974,0.5516465292584696,44.0
11.550245356559753,5.182185393571854,20.29292855262756,9.537983059883118,4.634049916267395,15.524715232849122,3.2,True,metrica_1,15.816536914705136,10.476469039916992,4.908272743225098,18.047953605651855,12.670506000518799,14.142433738708496,11.332507967948914,B2,84420,32.74579086303711,0.31579009713338074,0.13256337360814974,0.5516465292584696,44.0
22.843457984924317,17.28866376876831,29.998329591751098,20.75739994049072,15.890759789943695,26.038984847068786,3.5,True,metrica_1,25.73291497195651,21.619705200195312,16.59803009033203,27.9141845703125,23.958434104919434,25.416539478302003,22.581097769737244,B5,84420,41.88861160278321,0.31579009713338074,0.13256337360814974,0.5516465292584696,44.0
14.787092995643615,8.249122512340545,23.748883366584778,12.01777687072754,7.384496915340423,18.85943212509155,3.6,True,metrica_1,18.740747851361952,13.237410545349121,7.838914394378662,21.42936897277832,15.889143943786621,17.84750995635986,14.181189894676208,B3E,84420,36.22898712158205,0.31579009713338074,0.13256337360814974,0.5516465292584696,44.0
10.77156708240509,2.4334273278713225,20.292094659805297,8.884773659706116,2.138067251443863,15.52194972038269,3.5,True,metrica_1,15.250022499825114,9.779385566711426,2.282442808151245,18.043258666992188,12.107399940490723,13.649796485900879,10.76397671699524,B3V,84420,32.67699432373047,0.31579009713338074,0.13256337360814974,0.5516465292584696,44.0
13.740419590473174,3.7531439661979675,23.748134231567384,11.267154383659364,3.3192950814962385,18.859168457984925,4.1,True,metrica_1,17.90295030859755,12.356537818908691,3.53011155128479,21.42693328857422,15.102581024169922,17.235212755203246,13.39996954202652,B3,84420,36.09747276306153,0.31579009713338074,0.13256337360814974,0.5516465292584696,44.0
9.754843032360077,3.9065501272678373,19.473752737045285,7.672424072027207,3.3137651294469834,13.654252767562866,4.1,True,metrica_1,14.859466575397219,8.531505584716797,3.6102843284606934,16.5386905670166,11.005433559417725,12.960037183761596,9.624156427383422,B4,84420,32.65822830200195,0.31579009713338074,0.13256337360814974,0.5516465292584696,44.0
12.422243976593016,2.5577874541282655,34.79537763595581,11.220394253730774,2.320668914914131,31.84764955043793,3.2,True,metrica_2,22.484663438104427,11.785372734069824,2.4297447204589844,33.155935287475586,18.773710250854492,20.7792959690094,16.903678822517396,B1,84959,47.72416076660156,0.34622582657517154,0.156946291740722,0.49682788168410646,44.0
10.257229018211365,5.139444267749786,21.457364511489864,8.96265468597412,4.595520114898681,17.435239791870117,3.1,True,metrica_2,15.371318091948842,9.608494758605957,4.882734537124634,19.282011032104492,12.094757080078125,13.310623013973235,10.99410206079483,B2,84959,31.902307128906244,0.34622582657517154,0.156946291740722,0.49682788168410646,44.0
20.255297923088072,15.525918579101562,30.29572646617889,18.12039384841919,14.017677223682403,25.61819224357605,3.7,True,metrica_2,23.928792537109352,19.27375030517578,14.757604122161865,27.595977783203125,21.73435401916504,23.248277330398558,20.389330792427064,B5,84959,40.99003295898437,0.34622582657517154,0.156946291740722,0.49682788168410646,44.0
13.514932417869568,8.146746730804443,24.944011569023132,11.593242251873017,7.252580058574677,20.65908102989197,3.7,True,metrica_2,18.360803202735408,12.612656593322754,7.698994874954224,22.634060859680176,15.355722427368164,16.576391553878782,13.986538934707642,B3E,84959,36.05863647460937,0.34622582657517154,0.156946291740722,0.49682788168410646,44.0
9.566246461868285,2.380713850259781,21.45581390857696,8.320552611351014,2.1413086652755737,17.43393301963806,3.5,True,metrica_2,14.72970351453285,8.990239143371582,2.262162923812866,19.280234336853027,11.502093315124512,12.797112548351288,10.261943745613099,B3V,84959,31.854893493652337,0.34622582657517154,0.156946291740722,0.49682788168410646,44.0
12.62229208946228,3.6727171719074247,24.942038679122923,10.706787085533142,3.2735802471637725,20.662731838226318,4.0,True,metrica_2,17.396178571545263,11.632238388061523,3.4825702905654907,22.631000518798828,14.474652290344238,15.842571079730988,13.028573989868164,B3,84959,35.88794479370116,0.34622582657517154,0.156946291740722,0.49682788168410646,44.0
8.10914101600647,3.551992624998092,20.76633505821228,6.684085094928742,3.1118610560894013,15.500793468952178,3.9,True,metrica_2,14.322891474057007,7.348537445068359,3.329736590385437,17.910344123840332,10.122532844543457,11.676545882225035,8.701525783538818,B4,84959,33.18262100219726,0.34622582657517154,0.156946291740722,0.49682788168410646,44.0
14.124830687046051,3.2393670260906218,25.60217390060425,13.136721110343933,3.0380489826202393,23.674105978012086,0.7,True,SYNTH01,15.090838635362575,13.695977210998535,3.1615347862243652,24.547283172607422,14.638787269592285,15.855874478816984,13.216918921470642,B1,14991,26.531360626220703,0.49456340470949234,0.2177973450737109,0.28763925021679676,44.0
10.623747777938842,9.786043393611909,11.131429505348205,9.951115083694457,9.298298525810242,9.803508687019349,0.6,True,SYNTH01,10.283784141508958,10.313055515289307,9.552417755126953,10.511673927307129,10.166252136230469,10.506012785434722,9.857954978942871,B2,14991,13.004762649536133,0.49456340470949234,0.2177973450737109,0.28763925021679676,44.0
12.272790396213532,11.609152090549468,12.254343271255493,11.826405549049378,11.30435106754303,11.649633741378784,0.7,True,SYNTH01,12.231454547406928,12.034677505493164,11.444931030273438,11.921930313110352,11.847495079040527,12.041439056396484,11.675033020973206,B5,14991,14.049331665039062,0.49456340470949234,0.2177973450737109,0.28763925021679676,44.0
11.960563278198242,11.198030042648316,12.057728362083434,11.4021164894104,10.924946522712707,11.23477681875229,0.8,True,SYNTH01,11.865686439337052,11.663002490997314,11.049567222595215,11.615192890167236,11.503578186035156,11.758363616466522,11.256033110618592,B3E,14991,13.796104431152344,0.49456340470949234,0.2177973450737109,0.28763925021679676,44.0
