alive_only,ci_hi_2-9.6s,ci_hi_<=2s,ci_hi_>9.6s,ci_lo_2-9.6s,ci_lo_<=2s,ci_lo_>9.6s,config,include_gk,match_id,mean_all,median_2-9.6s,median_<=2s,median_>9.6s,median_all,median_ci_hi,median_ci_lo,method,n,p90_all,share_2-9.6s,share_<=2s,share_>9.6s,width_m
False,8.28788959980011,3.7209231734275816,16.864158487319944,6.91423796415329,3.2803337574005127,12.68575713634491,A_replica_literal,True,J03WMX,12.177626179473457,7.536831378936768,3.505378842353821,14.43172025680542,9.306544303894043,10.674827337265015,8.232811057567597,B4,90198,26.6417200088501,0.34477482871017096,0.16082396505465754,0.49440120623517153,44.0
False,8.256326055526733,3.637759494781494,16.613692426681517,6.933954936265946,3.210702309012413,12.816230154037475,B_particion_portero,True,J03WMX,11.819624776639978,7.5547637939453125,3.416907548904419,14.444891452789307,9.235658168792725,10.414659786224364,8.268432331085204,B4,90198,24.42337284088135,0.34477482871017096,0.16082396505465754,0.49440120623517153,44.0
False,8.080764365196227,3.702932834625244,14.592017889022827,6.663751125335693,3.2451508045196533,9.953290498256683,C_solo_campo,False,J03WMX,10.524293868778663,7.31707239151001,3.478196859359741,11.79800033569336,7.781949996948242,8.970374870300292,6.837297856807709,B4,71029,22.508558273315433,0.3988934097340523,0.18876796801306508,0.41233862225288265,44.0
False,10.056531047821045,4.5208978176116945,23.1186199426651,8.336818706989288,3.8394186079502104,15.848252153396606,A_replica_literal,True,J03WN1,16.57382606049535,9.156417846679688,4.191826343536377,18.74055004119873,12.15341854095459,14.418384611606598,10.35261037349701,B4,87290,38.306853485107446,0.33915683354336124,0.14433497536945813,0.5165081910871807,44.0
False,9.80364774465561,4.317112845182419,22.465704202651978,8.276284766197204,3.6622643947601317,15.500404477119446,B_particion_portero,True,J03WN1,15.971487769394706,9.018701553344727,3.991835832595825,18.088838577270508,11.85267448425293,13.80406436920166,10.288287734985351,B4,87290,36.75469436645508,0.33915683354336124,0.14433497536945813,0.5165081910871807,44.0
False,9.66781289577484,4.460524970293045,26.45321729183197,7.984605139493942,3.733564615249634,13.505704629421235,C_solo_campo,False,J03WN1,15.519864476596762,8.802291870117188,4.111493110656738,18.074369430541992,10.390080451965332,12.879928052425385,8.808045792579652,B4,69515,38.40538558959961,0.38473710709918724,0.16723009422426816,0.4480327986765446,44.0
False,9.93720555305481,4.389246892929077,19.340934324264527,8.035095918178559,3.6982933640480042,15.268794822692872,A_replica_literal,True,J03WOH,15.398343686786705,8.960416793823242,4.051970481872559,17.233542442321777,11.792814254760742,13.16085147857666,10.488427925109864,B4,98355,33.42277145385742,0.32553505159880025,0.13348584210258757,0.5409791062986121,44.0
False,9.696330153942109,4.199457359313965,18.970066642761232,7.8922051846981045,3.5476396143436433,15.59382152557373,B_particion_portero,True,J03WOH,15.105743033696553,8.756064891815186,3.8894453048706055,17.281115531921387,11.68547248840332,13.119799375534058,10.369958353042602,B4,98355,32.349752807617186,0.32553505159880025,0.13348584210258757,0.5409791062986121,44.0
False,9.627661848068238,4.336040890216827,19.036041569709777,7.699941992759705,3.6436464160680773,14.197773218154907,C_solo_campo,False,J03WOH,14.577705304443484,8.60473918914795,3.9831488132476807,16.528127670288086,10.666240215301514,12.175232303142547,9.163046431541442,B4,81698,32.94352531433107,0.3587235917647923,0.14996695145536,0.4913094567798477,44.0
False,9.652648043632507,4.3118736267089846,18.33217782974243,7.61513797044754,3.7327616214752197,13.089578652381897,A_replica_literal,True,J03WOY,13.861357430559444,8.670434951782227,3.9948184490203857,15.525599479675293,10.61959171295166,12.142581558227539,9.349381566047668,B4,102293,29.119672775268555,0.3227102538785645,0.1424046611205068,0.5348850850009287,44.0
